ID,Species Name
4577,Zea mays
9606,Homo sapiens (Human)
39152,Methanococcus maripaludis
562,Escherichia coli
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
3702,Arabidopsis thaliana (Mouse-ear cress)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
3847,Glycine max
,none
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
547559,Natrialba magadii ATCC 43099
9031,Gallus gallus
9606,Homo sapiens (Human)
,honeybee (Apis mellifera L.)
10117,Rattus rattus (Black rat)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
56780,Syntrophus aciditrophicus SB
562,Escherichia coli
4929,Meyerozyma guilliermondii
9606,Homo sapiens (Human)
866344,Helicobacter pylori F16
9606,Homo sapiens (Human)
562,Escherichia coli
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
9031,Gallus gallus
9606,Homo sapiens (Human)
9913,Bos taurus
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
573061,Clostridium cellulovorans 743B
,Ciona intestinalis Type A
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
615,Serratia marcescens
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9913,Bos taurus
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
4530,Oryza sativa
9606,Homo sapiens (Human)
1280,Staphylococcus aureus
309800,Haloferax volcanii DS2
9606,Homo sapiens (Human)
3702,Arabidopsis thaliana (Mouse-ear cress)
280699,Cyanidioschyzon merolae strain 10D
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
9031,Gallus gallus
9606,Homo sapiens (Human)
6239,Caenorhabditis elegans
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
75913,Strongyloides venezuelensis
9606,Homo sapiens (Human)
6239,Caenorhabditis elegans
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
131567,cellular organisms
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
175694,Andrographis paniculata
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
76777,Malassezia sympodialis
9606,Homo sapiens (Human)
4081,Solanum lycopersicum
9606,Homo sapiens (Human)
10117,Rattus rattus (Black rat)
131567,cellular organisms
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
131567,cellular organisms
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10117,Rattus rattus (Black rat)
4929,Meyerozyma guilliermondii
3702,Arabidopsis thaliana (Mouse-ear cress)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
562,Escherichia coli
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
6239,Caenorhabditis elegans
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
10117,Rattus rattus (Black rat)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10090,Mus musculus (Mouse)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
68455,Crocodylus siamensis
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
10117,Rattus rattus (Black rat)
131567,cellular organisms
56780,Syntrophus aciditrophicus SB
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
131567,cellular organisms
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
9606,Homo sapiens (Human)
